text,language,None,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
That will be difficult because the House is taking a harder line than the Senate on immigration policy and is showing no signs of backing down.,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Supporters of enforcement say that a more aggressive approach boosts public safety overall by making illegal immigrants reluctant to break the law because they fear deportation. Brad Botwin, director of the group Help Save Maryland, said the Takoma case should be viewed in the context of broader needs.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Video: American Mosaic: Stories of immigration from those who lived it,en,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Immigration quandary; New plan encounters immediate criticism, signaling tough debates ahead",en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Smuggling probe suspect pleads guilty to immigration violations,en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SOME COMMON SENSE IS FINALLY ALLOWED ENTRY,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clarity is elusive in immigration debate,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IT TAKES A CITY (AND A LOT OF HARD WORK) TO ATTRACT IMMIGRANTS,en,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"One initiative is a crackdown on the small percentage of immigrants who commit crimes, with beefed up efforts to detain and deport them. Another is an ongoing tightening of enforcement along the border with Mexico.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Douglas' bill --- SB 25 --- would increase the fine from $1,000 to $5,000 for motorists who use fake documents to obtain an auto tag or driver's license in Georgia. Violators already face jail time of one to five years. Anyone who aids in such fraud would face the same penalty under the bill.",en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
He also said the United States should not allow concerns about border security to derail efforts to adopt new measures to allow millions of additional Mexicans to become guest workers in the United States.,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JUSTICE DEPT. CONSIDERS POSSIBLE APPEAL OF SENTENCES IN TEXAS SLAVE CASE,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Court Leaves Intact Rights for Immigrants Facing Deportation,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
535 PASS FIRST HURDLE ON FIRST DAY OF THE AMNESTY PROGRAM,en,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"These executive actions touch many sectors of society, including higher education. Lawmakers in many states have debated whether to make undocumented students eligible for in-state tuition at public colleges and universities. Such students are not eligible for federal Pell grants.
",en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
