sentence,label_name,label_ID,language
"$50,000 per entry",Economic,1.0,en
Increase in Latino residents brings anti-immigration backlash,Cultural Identity,11.0,en
"The number who died along the border last year rose to 136 from 29 the previous year, according to officials from Mexico's National Migration Institute. Close to 50 deaths have been reported so far this year.",Health and Safety,9.0,en
We do not agree with critics who say that any amnesty is tantamount to rewarding lawbreakers.,"Legality, Constitutionality, Jurisdiction",5.0,en
 But this approach to the problem would harm this country's promising efforts to improve trade ties with Mexico.,External Regulation and Reputation,14.0,en
"Stevo Saric, the Bosnian immigrant who brought his family to the United States to escape the violence of war-torn Albania",Quality of Life,10.0,en
U.S. INDICTMENT ACCUSES 5 PEOPLE OF VIOLATING IMMIGRATION LAWS,Crime and Punishment,7.0,en
"Citing the ""menace of terrorism"" after the Sept. 11 attacks, South Carolina Attorney General Charlie Condon last week offered to enlist South Carolina law enforcement officers to assist the INS investigative branch.",Security and Defense,8.0,en
Safety checks at Mexican border take toll on 2 cities' economies,Economic,1.0,en
AIRPORTS FACE IDENTITY CRISIS,Cultural Identity,11.0,en
"And that has created a lucrative market for cemeteries eager to cater to Chinese immigrants willing to pay $ 2,000 to $ 10,000 for good burial plots.",Economic,1.0,en
"The city lost an estimated 100,000 jobs after the attacks.",Economic,1.0,en
INS adjusts to role in terrorism fight,Security and Defense,8.0,en
"IMMIGRANTS POUR INTO GEORGIA, HEARTLAND STATES, STUDY FINDS",Cultural Identity,11.0,en
But critics say immigrants in particular face new dangers from the proposals that they say parallel the treatment of Japanese in this country during the 1940's.,Fairness and Equality,4.0,en
Mexico and U.S. to Patrol Border Trouble Spots,Security and Defense,8.0,en
"""I don't feel like I owe this country anything,"" said the Taiwan-born woman. ""I just feel like this is my country and I need to give.""",Cultural Identity,11.0,en
SENATE PASSES IMMIGRATION BILL,Political,13.0,en
A Jamaican Way Station in the Bronx; Community of Striving Immigrants Fosters Middle-Class Values,Cultural Identity,11.0,en
"MEXICAN PRESIDENT ASKS AMERICANS FOR ""TRUST""; IMMIGRATION REFORM REQUIRES COOPERATIVE EFFORT, VICENTE FOX SAYS",External Regulation and Reputation,14.0,en
"Christmas as many have come to know it in the United States --- dragging home a tree or pulling a fake one out of a box, the frenzy of last-minute shopping, stuffing cards into envelopes --- is different in many immigrant communities in metro Atlanta.",Cultural Identity,11.0,en
Va. Case a Window on Terror Probe,Security and Defense,8.0,en
"Rep. Bobby Parham (D-Milledgeville), chairman of the House Motor Vehicles Committee, said he has polled his committee several times and the bill does not have enough support. The petition drive will make an impact only if the signers are voters in committee members' districts, he said.",Political,13.0,en
Tighter borders may hit schools Holiday trips home stir concern,Quality of Life,10.0,en
"Large numbers of students could be affected in districts such  as Denver and Commerce City that have big concentrations of  undocumented Mexican immigrants, as well as rural areas with  itinerant workers.",Quality of Life,10.0,en
CRASH KIN MAY LOSE HOPE FOR GREEN CARD,Quality of Life,10.0,en
 Apprehensions of illegal immigrants trying to enter the United States from Mexico from Oct. 1 through Nov. 5 dropped 54 percent from the same period last year.,Security and Defense,8.0,en
A NATION CHALLENGED: IMMIGRATION; BUSH SETS OPTION OF MILITARY TRIALS IN TERRORIST CASES,Security and Defense,8.0,en
Keeping terrorists out,Security and Defense,8.0,en
"On the other hand, this nation is a nation of legal immigrants. When the politicians use the weak section of society as the scapegoat for all the ills of the nation, it is a very dangerous phenomenon.",Fairness and Equality,4.0,en
"The bill passed the House on a voice vote late last year and came within an inch of immediate Senate approval, until it was halted by Sen. Robert Byrd (D-W.Va.).",Political,13.0,en
Legal groups are suing to require the Immigration and Naturalization Service to provide free legal representation for hundreds of minors being detained in deportation cases.,"Legality, Constitutionality, Jurisdiction",5.0,en
"At an immigration hearing last month, Marcos signed a consent agreement that waived his right to contest deportation, his lawyers said. But Marcos, who speaks limited English and has been living with relatives in Seattle for nine months, said he wanted to remain in the United States.","Legality, Constitutionality, Jurisdiction",5.0,en
"Attorneys for Vijay and Prasad Lakireddy, brothers of a wealthy Berkeley family charged in an immigration fraud and sex case, want four charges dismissed because some of the alleged sex was in India.",Crime and Punishment,7.0,en
"Defense attorney Gerald Williams said he planned to appeal the sentence.
","Legality, Constitutionality, Jurisdiction",5.0,en
"If you get a manicure in St. Louis or St. Louis County, chances are about one in three that the manicurist will be a Vietnamese immigrant or the child of one, according to a Post-Dispatch analysis of Vietnamese surnames on state manicurist licenses from the Missouri Department of Economic Development's Division of Professional Registration.",Cultural Identity,11.0,en
A NATION CHALLENGED: DETAINEES; Civil Rights Groups Allowed to Visit Two Jails in New Jersey,Crime and Punishment,7.0,en
"Rizvi's younger brother, Armoghan Rizvi, 23, was arrested by  the INS outside the federal courthouse in Denver while using a  cellphone during his brother's arraignment in November. Charged  with being an undocumented immigrant, Armoghan is expected to  plead guilty on Feb. 11.",Crime and Punishment,7.0,en
It turned out the Vietnamese agency that was helping out with the adoption was being investigated by the I.N.S.,Crime and Punishment,7.0,en
"""The new law gives the government a great deal of power to go after people on the basis of their political beliefs and associations,""",Policy Prescription and Evaluation,6.0,en
Metro Briefing New York: Manhattan: Immigrant Amnesty Campaign,Public Sentiment,12.0,en
"Pressure to get the system up and running has increased since the Sept. 11 terrorist attacks on New York and Washington. Hani Hanjour, one of the 19 hijackers, used a student visa to enter the United States, saying he wanted to study English. He never showed up for class.",Security and Defense,8.0,en
INS CHIEF ZIGLAR CAUGHT IN PINCH,Other,15.0,en
Other aspects of the bill are less controversial.,Policy Prescription and Evaluation,6.0,en
17 Arrested in New York In a Nationwide Drug Sting,Crime and Punishment,7.0,en
President Bush has repeatedly vowed to do whatever is necessary to protect our homeland security. But can this nation achieve this goal if we maintain current levels of immigration?,Security and Defense,8.0,en
When Immigrants Are Children,Quality of Life,10.0,en
 he was allowed to stay with family and given legal representation.,"Legality, Constitutionality, Jurisdiction",5.0,en
A 'DREAM' TURNS DEADLY   Jimmy Breslin details an immigrant's tragedy,Health and Safety,9.0,en
"Of course he was trying to win points with the hard-core political right, to keep its support from swinging to more conservative presidential candidates.",Political,13.0,en
" After a 12-hour journey, the immigrants poured out of the 53-foot trailer exhausted and dehydrated at a truck stop.",Health and Safety,9.0,en
"Atlanta, while better insulated than tourism-dependent cities, already feels the pinch and could lose millions of dollars and thousands of jobs if foreigners stay away.",Economic,1.0,en
FBI investigators said Friday that the gunman who went on a rampage inside Los Angeles International Airport on July 4 was an Egyptian immigrant living in Southern California who had no criminal history or known ties to terrorist groups but apparently planned the attack in advance.,Crime and Punishment,7.0,en
MEXICO SAYS FEWER MIGRANTS ARE DYING WHILE TRYING TO CROSS THE U.S. BORDER,Health and Safety,9.0,en
"Officials said the arrests, which began Wednesday, were meant to target illegal foreign workers, although there was no immediate explanation why the FBI was involved.",Crime and Punishment,7.0,en
Court Allows Closed Immigration Hearings to Continue,"Legality, Constitutionality, Jurisdiction",5.0,en
"On the U.S. end, if immigration must be controlled, quality - not quantity - should be the determining factor.",Capacity and Resources,2.0,en
LOGIC FOREIGN TO U.S. IMMIGRATION,Policy Prescription and Evaluation,6.0,en
"The government has visas for unskilled agricultural workers, called H-2A visas.","Legality, Constitutionality, Jurisdiction",5.0,en
Local police could be called on to find illegal aliens.; Possible change in enforcing immigration law sparks fear,Crime and Punishment,7.0,en
